,Total
2023-08-01,1109655
2023-08-02,1109655
2023-08-03,1109655
2023-08-04,1109655
2023-08-05,1109655
2023-08-06,1109655
2023-08-07,1109655
2023-08-08,1109655
2023-08-09,1109655
2023-08-10,1109655
2023-08-11,1109655
2023-08-12,1109655
2023-08-13,1109655
2023-08-14,1109655
