,Total
2023-09-01,95
2023-09-02,95
2023-09-03,95
2023-09-04,95
2023-09-05,95
2023-09-06,95
2023-09-07,95
2023-09-08,95
2023-09-09,95
2023-09-10,95
2023-09-11,95
2023-09-12,95
2023-09-13,95
2023-09-14,95
2023-09-15,95
2023-09-16,95
2023-09-17,1074827
2023-09-18,1074827
2023-09-19,1242062
2023-09-20,1242062
2023-09-21,1242062
2023-09-22,1242062
2023-09-23,1242062
2023-09-24,1242062
2023-09-25,1242062
2023-09-26,1242062
2023-09-27,1242062
