,Total
2023-06-01,30
2023-06-04,30
2023-06-05,30
2023-06-06,30
2023-06-07,30
2023-06-08,30
2023-06-09,30
2023-06-10,30
2023-06-11,30
2023-06-12,30
2023-06-13,30
2023-06-14,30
2023-06-15,30
2023-06-16,30
2023-06-17,1240321
2023-06-18,1240321
2023-06-19,1240321
2023-06-20,1240321
2023-06-21,1240321
2023-06-22,1240321
2023-06-23,1240321
2023-06-24,1240321
2023-06-25,1240321
2023-06-26,1240321
2023-06-27,1240321
2023-06-28,1240321
2023-06-29,1240321
2023-06-30,1240321
