,Total
2023-08-01,92
2023-08-02,92
2023-08-03,92
2023-08-04,92
2023-08-05,92
2023-08-06,92
2023-08-07,92
2023-08-08,92
2023-08-09,92
2023-08-10,92
2023-08-11,92
2023-08-12,92
2023-08-13,92
2023-08-14,92
2023-08-15,92
2023-08-16,92
2023-08-17,1184495
2023-08-18,1184495
