,Total
2023-09-01,1184495
2023-09-02,1184495
2023-09-03,1184495
2023-09-04,1184495
2023-09-05,1184495
2023-09-06,1184495
2023-09-07,1184495
2023-09-08,1184495
2023-09-09,1184495
2023-09-10,1184495
2023-09-11,1184495
2023-09-12,1184495
2023-09-13,1184495
2023-09-14,1184495
2023-09-15,1184495
2023-09-16,1184495
2023-09-17,1507399
2023-09-18,1507399
2023-09-19,1507505
2023-09-20,1507505
2023-09-21,1507505
2023-09-22,1507505
2023-09-23,1507505
2023-09-24,1507505
2023-09-25,1507505
2023-09-26,1507505
2023-09-27,1507505
2023-09-28,1507505
2023-09-29,1507505
