,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-09-01,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-02,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-03,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-04,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-05,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-06,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-07,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-08,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-09,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-10,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-11,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-12,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-13,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-14,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-15,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
2023-09-16,,,,,,1,,,,,13,1,,,1,76,,,,1,,,,1,,,,,,,,,,
