,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-07-01,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-02,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-03,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-04,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-05,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-06,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-07,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-08,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-09,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-10,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-11,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-12,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-13,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-14,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-15,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
2023-07-16,53,2,,,,5,4,,,2,566,159,79,4,48,9135,9,166,51591,715224,12,462894,,90,133,,6,,41,,,,,8
