,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2023-05-01,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-02,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-03,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-04,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-05,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-06,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-07,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-08,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-09,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
2023-05-10,197,1,,2,28,30906,517,30629,6,584,6491,585,12442,1712,72614,,20174,11173,2621,23046,56401,183024,903,5,52,46,105,141,,,6,22099,1,573,1,24,393295,27465,105595,64,59426,134,3323,,7,92,32315,7631,6390,18,8776,3974,115,3725,38,,93,,2,3,315,750,325,28,666,1,2606,447,1914,21786,36398,54130,768,520,21793,1565,239,280,4240,60,252,1,2409,694,6050,492,,376,,112,2,35,1,,3,12,12,,2750,271
