,Total
2023-10-01,1242062
2023-10-02,1242062
2023-10-03,1242062
2023-10-04,1242062
2023-10-05,1242062
2023-10-06,1242062
2023-10-07,1242062
2023-10-08,1242062
2023-10-09,1242062
2023-10-10,1242062
2023-10-11,1242062
2023-10-12,1242062
2023-10-13,1242062
2023-10-14,1242062
2023-10-15,1242062
2023-10-16,1242062
2023-10-17,1485240
2023-10-18,1485240
2023-10-19,1485240
2023-10-20,1485240
2023-10-21,1485240
2023-10-22,1485240
2023-10-23,1485240
2023-10-24,1485240
