,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-09-01,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-02,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-03,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-04,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-05,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-06,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-07,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-08,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-09,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-10,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-11,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-12,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-13,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-14,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
2023-09-15,95,6,34,,,1,9,,,,749,89,47,11,4,7485,,,49383,567732,70,558518,,119,68,,1,,12,,,,,15
