,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-05-01,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-02,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-03,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-04,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-05,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-06,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-07,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-08,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-09,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-10,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-11,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-13,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-14,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-15,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-16,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
2023-05-17,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-05-18,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
