,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2023-11-01,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-02,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-03,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-04,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-05,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-06,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-07,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-08,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-09,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-10,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
2023-11-11,104,6,,6,25,17280,210,25485,17,328,4367,294,5930,993,50300,1,13313,7363,1754,14762,38365,127687,742,3,19,40,140,115,,,5,14550,,492,,19,428695,14904,66836,47,36307,76,1748,,,57,18078,4933,3312,6,4826,2264,47,2397,140,1,51,,2,4,141,607,165,1,417,1,2001,255,1202,13016,23708,37712,466,295,13738,921,277,277,2088,30,274,,1308,380,4529,486,,141,,27,,7,1,2,2,3,1,,1276,145
