,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2023-09-14,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-09-15,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-09-16,177,5,,4,16,19877,146,31881,1,644,4661,388,6029,1257,54320,,15841,7052,1655,16100,44747,159625,666,3,23,48,141,171,,2,5,17379,,475,,25,500731,18879,78387,54,37967,105,2305,,,100,20843,4481,4445,15,5156,2780,87,2669,37,1,143,,,7,152,849,232,113,530,1,2044,283,1487,15021,30186,41110,532,314,16452,1038,293,213,1920,81,293,4,1511,417,4753,381,,180,,19,1,8,1,,7,4,2,1,1335,171
2023-09-17,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66397,,18596,8841,1914,19976,53966,185235,808,7,90,53,185,305,,2,5,20048,,571,,32,632870,21964,92320,72,48372,356,2621,,,139,26566,5097,5250,24,6331,3918,102,3161,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35868,46437,635,360,20109,1250,359,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-18,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66397,,18596,8841,1914,19976,53966,185235,808,7,90,53,185,305,,2,5,20048,,571,,32,632870,21964,92320,72,48372,356,2621,,,139,26566,5097,5250,24,6331,3918,102,3161,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35868,46437,635,360,20109,1250,359,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-19,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-20,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-21,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-22,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-23,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-24,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-25,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
2023-09-26,190,5,,10,20,43317,276,69544,2,764,5529,447,12701,1471,66401,,18598,8842,1914,19977,53966,185288,808,7,90,53,185,305,,2,5,20048,,574,,32,632870,21964,92320,72,48376,356,2621,,,139,26580,5097,5250,24,6332,3921,102,3162,42,2,169,1,,7,221,1025,293,389,600,2,2284,737,1873,17112,35875,46442,636,360,20112,1250,362,281,3023,108,306,6,1760,514,5449,456,,206,,26,6,18,12,4,7,17,3,1,4560,391
