,Total
2023-06-01,1089860
2023-06-04,1089860
2023-06-05,1089860
2023-06-06,1089860
2023-06-07,1089860
2023-06-08,1089860
2023-06-09,1089860
2023-06-10,1089860
2023-06-11,1089860
2023-06-12,1089860
2023-06-13,1089860
2023-06-14,1089860
2023-06-15,1089860
2023-06-16,1089860
2023-06-17,1387598
2023-06-18,1387598
2023-06-19,1387598
2023-06-20,1387598
2023-06-21,1387598
2023-06-22,1387598
2023-06-23,1387598
2023-06-24,1387598
2023-06-25,1387598
2023-06-26,1387598
2023-06-27,1387598
2023-06-28,1387598
2023-06-29,1387598
