,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-06-01,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-04,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-05,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-06,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-07,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-08,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-09,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-10,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-11,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-12,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-13,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-14,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-15,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-16,168,5,27,,,6,2,,,2,808,155,109,,74,9970,7,122,32399,597408,2,447826,14,163,213,,4,,241,2,,,,33
2023-06-17,225,12,57,,2,39,10,,,3,1688,188,225,,264,19247,17,609,38003,707068,8,618421,59,499,374,4,10,,310,6,,,,67
