,Total
2023-07-01,66
2023-07-02,66
2023-07-03,66
2023-07-04,66
2023-07-05,66
2023-07-06,66
2023-07-07,66
2023-07-08,66
2023-07-09,66
2023-07-10,66
2023-07-11,66
2023-07-12,66
2023-07-13,66
2023-07-14,66
