,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2023-10-01,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-02,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-03,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-04,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-05,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-06,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-07,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-08,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-09,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
2023-10-10,152,23,,14,22,24451,309,34751,3,397,5677,456,9171,1341,63159,1,18194,7478,1821,18702,52400,170985,790,13,45,60,171,182,,1,23,21327,,660,1,29,449194,23237,95007,50,44667,167,3202,,1,101,24964,6116,4945,28,5996,3477,78,2851,57,,63,,7,4,201,938,213,129,536,,1904,414,1737,19831,33146,46899,621,424,20268,1363,369,305,3167,64,291,,1899,594,6004,602,,194,,17,,24,8,,4,12,6,2,2515,340
