,PORT AUTHORITY,TRIBOROUGH BRIDGE AND TUNNEL POLICE,CON RAIL,DEPARTMENT OF BUSINESS SERVICES,BOARD OF ESTIMATE,FIRE DEPARTMENT,TAXI AND LIMOUSINE COMMISSION,HOUSING AUTHORITY,STATEN ISLAND RAPID TRANSIT POLICE,AMTRAK RAILROAD POLICE,PARKS DEPARTMENT,LONG ISLAND RAILROAD,TRANSIT AUTHORITY,NYS PARKS POLICE,NYS COURT OFFICERS,POLICE DEPARTMENT,DEPARTMENT OF CORRECTION,NYC TRANSIT AUTHORITY MANAGERS,DEPARTMENT OF SANITATION,TRAFFIC,PARKING CONTROL UNIT,DEPARTMENT OF TRANSPORTATION,HEALTH DEPARTMENT POLICE,OTHER/UNKNOWN AGENCIES,HEALTH AND HOSPITAL CORP. POLICE,METRO NORTH RAILROAD POLICE,NYS OFFICE OF MENTAL HEALTH POLICE,O M R D D,ROOSEVELT ISLAND SECURITY,SEA GATE ASSOCIATION POLICE,SNUG HARBOR CULTURAL CENTER RANGERS,WATERFRONT COMMISSION OF NY HARBOR,SUNY MARITIME COLLEGE,NYC OFFICE OF THE SHERIFF
2023-10-01,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-02,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-03,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-04,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-05,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-06,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-07,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-08,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-09,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-10,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-11,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-12,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-13,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-14,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-15,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-16,,,,,,,,,,,8,,1,,,134,,,,,,,,,1,,,,,,,,,
2023-10-17,87,,10,,,,5,,,3,153,59,69,9,25,5342,3,,44165,487791,,477390,,2,101,,,,82,,,,,
2023-10-18,87,,10,,,,5,,,3,153,59,69,9,25,5342,3,,44165,487791,,477390,,2,101,,,,82,,,,,
2023-10-19,87,,10,,,,5,,,3,153,59,69,9,25,5342,3,,44165,487791,,477390,,2,101,,,,82,,,,,
2023-10-20,87,,10,,,,5,,,3,153,59,69,9,25,5342,3,,44165,487791,,477390,,2,101,,,,82,,,,,
2023-10-21,87,,10,,,,5,,,3,153,59,69,9,25,5342,3,,44165,487791,,477390,,2,101,,,,82,,,,,
